
"annual population survey - regional - occupation (SOC2020) by sex by employment type"
"ONS Crown Copyright Reserved [from Nomis on 26 March 2025]"
"Analysis   :","standard"
"Date       :","Apr 2023-Mar 2024"
"Permanent/non-permanent:","Total"
"Full/Part-time:","Total"
"Employee/Self-employed:","Total"
"Sex        :","All persons"
"measure    :","Count"
"Confidence :","95% confidence interval (+/-)"

"Occupation (SOC2020)","United Kingdom","Conf","Great Britain","Conf","England","Conf","Wales","Conf","Scotland","Conf","Northern Ireland","Conf","England and Wales","Conf"

"Total",32812400,258800,31906400,261700,27793600,256200,1466700,37900,2646200,66100,906000,26100,29260200,254000
"1111 : Chief executives and senior officials",116100,15400,113800,15600,105700,15800,2000,1400,6100,3200,2300,1300,107700,15400
"1112 : Elected officers and representatives",10800,4700,10400,4700,7700,4300,1700,"*",1000,"*","~","!",9400,4500
"1121 : Production managers and directors in manufacturing",270400,23500,261800,23700,234900,23600,10900,3300,16000,5100,8600,2500,245800,23300
"1122 : Production managers and directors in construction",162200,18200,159800,18500,146900,18600,3800,1900,9000,3900,2400,1400,150700,18200
"1123 : Production managers and directors in mining and energy",11800,4900,11600,5000,8900,4600,"~","!",2400,"*","~","!",9100,4500
"1131 : Financial managers and directors",411400,29000,404500,29500,367100,29400,9800,3100,27600,6800,7000,2300,376900,28800
"1132 : Marketing, sales and advertising directors",238700,22100,235600,22500,222700,22900,4700,2100,8300,3700,3100,1500,227400,22400
"1133 : Public relations and communications directors",41100,9200,40700,9300,35800,9200,4300,"*",600,"!","~","!",40100,9400
"1134 : Purchasing managers and directors",71600,12100,70200,12300,61500,12100,4200,2000,4500,2700,1500,"*",65700,12000
"1135 : Charitable organisation managers and directors",40200,9100,38600,9100,33600,8900,1000,"*",4000,2600,1600,"*",34600,8700
"1136 : Human resource managers and directors",220800,21200,216700,21600,199400,21700,4400,2100,12900,4600,4200,1800,203800,21200
"1137 : Information technology directors",138700,16800,136600,17100,127000,17300,3400,1800,6200,3200,2000,1200,130500,17000
"1139 : Functional managers and directors n.e.c.",154300,17700,152200,18100,137400,18000,4600,2100,10100,4100,2200,1300,142000,17700
"1140 : Directors in logistics, warehousing and transport",26700,7400,26300,7500,23600,7500,"~","*",2300,"*","~","!",24000,7300
"1150 : Managers and directors in retail and wholesale",304200,24900,297300,25300,267400,25100,11300,3300,18600,5500,7000,2300,278700,24800
"1161 : Officers in armed forces",30900,7900,30800,8100,29400,8300,600,"*",700,"*","~","!",30000,8100
"1162 : Senior police officers",15800,5700,15800,5800,12400,5400,2600,"*",800,"*","!","!",15000,5700
"1163 : Senior officers in fire, ambulance, prison and related services",15900,5700,15300,5700,13300,5600,"~","!",1800,"*",600,"*",13600,5500
"1171 : Health services and public health managers and directors",77300,12600,76500,12800,67300,12600,3400,1800,5800,3100,800,"*",70700,12500
"1172 : Social services managers and directors",45800,9700,45000,9800,38900,9600,4300,2100,1800,"*",800,"*",43200,9800
"1211 : Managers and proprietors in agriculture and horticulture",34100,8300,32200,8300,26600,7900,2300,1500,3300,2300,1900,1200,28900,8000
"1212 : Managers and proprietors in forestry, fishing and related services",19700,6300,19200,6400,15100,6000,800,"*",3400,"*","~","*",15900,5900
"1221 : Hotel and accommodation managers and proprietors",36600,8600,36600,8900,24500,7600,3700,1900,8400,3700,"!","!",28200,7900
"1222 : Restaurant and catering establishment managers and proprietors",122600,15800,121100,16100,107900,16000,4200,2000,9000,3800,1500,"*",112100,15700
"1223 : Publicans and managers of licensed premises",31300,8000,30700,8100,27600,8100,2500,"*",600,"!",600,"*",30100,8100
"1224 : Leisure and sports managers",50400,10100,49300,10300,43700,10200,900,"*",4700,2800,1200,"*",44600,9900
